DataID,Language,MWE,Setting,Previous,Target,Next,Label
train_one_shot.EN.14.1,EN,divine service,one_shot,"One secret that has kept the agency running over the years, despite the numerous drawbacks, is the hope that someday, God will send a Moses that will lead the Agency to the promised land.","Besides, officers strongly believe that drug control is both a humanitarian and divine service that attracts blessings from God.","This understanding has contributed immensely in sustaining their enthusiasm and resilience even in the face of career stagnation, poor remuneration, lack of operational logistics and dampened morale.",0
train_one_shot.EN.14.2,EN,divine service,one_shot,"Concerned about his safety in proclaiming such an unpopular view, he carried into his pulpit not only his sermon manuscript but also a loaded pistol.","At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as divine service is ended, in the afternoon, on the first Lord's day after they have received it.""","During the war, more than a hundred colonial ministers served as chaplains in the Continental Army, and a lesser number of Anglican clergy, sympathetic to the loyalist cause, joined British regiments.",1
train_one_shot.EN.23.1,EN,life belt,one_shot,"The tragedy of Sonny Ferry's death in the River Foss last year and the inadequate police investigation into the circumstances, particularly relating to the use of his bank card shortly after his death (Police cleared of misconduct over probe into death of Sonny Ferry, October 19), are compounded by the inadequate response by the City of York Council to make our two rivers safer.","It is some years since a few extra escape ladders and life belt posts were installed, but these are only useful if the person in the river is very close to one.","That's unlikely, as they are quite some distance apart and you would be lucky to be able to see a ladder and swim to it.",0
train_one_shot.EN.30.1,EN,black cherry,one_shot,"Found throughout the state, it is a common inhabitant of mesic woodlands, avoiding the very dry or very wet woodlands favored by many other oak species.","It is a characteristic species of mesic slopes, frequently associating the tulip tree, sugar maple, American beech, white oak, black cherry and bitternut hickory.","The overall range of northern red oak includes much of the eastern United States from the Carolinas, Alabama to eastern Oklahoma in the south, north to the Canadian border as far west as Minnesota.",1
train_one_shot.EN.31.1,EN,guinea pig,one_shot,"Existing preclinical models either rely on unloading the muscle, meaning mimicking bedrest in an animal, or they must wait until the animals get really, really old, and even then they don't really get the same muscle aging phenotype as people do,"" said Karyn Hamilton, a professor in the CSU Department of Health and Exercise Science, an associate director at the Center for Healthy Aging, and a researcher on the study.","In their work, Hamiliton's team found that the Dunkin Hartley guinea pig was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.","The two conditions—OA and sarcopenia—seem to be linked in humans: With advancing age, skeletal muscle dysfunction increases the risk for OA, and OA increases the risk for further muscle decline.",1
train_one_shot.EN.31.2,EN,guinea pig,one_shot,"Obviously, none of these scenarios is true — but I had struggled with whether or not to get the shot.",I initially feared that taking it would make me a guinea pig.,"I had already heard people within my network say they wanted to wait because the vaccines only had emergency use authorization (to which I say, 400,000 Americans have died; it’s an emergency authorization for a reason).",0
train_one_shot.EN.33.1,EN,milk tooth,one_shot,"If you lose a tooth at six, don’t you get a second chance toothwise?",Wouldn’t that have been a milk tooth?,"Maybe the root got ripped out by the lash of the whip, making the gap permanent, so that a tooth could never grow there again.",0
train_one_shot.EN.33.2,EN,milk tooth,one_shot,A ritual sacrifice from the 19th century is vividly relieved.," Her latest pamphlet Milk Tooth, published by Rough Trade Books, is a collection of thwarted escape plans for a too-heavy world.","In these poems of trauma and transformation, the present throbs with unfinished histories.",1
train_one_shot.EN.40.1,EN,street girl,one_shot,"In this movie, viewers will watch as each crew begins filming, as well as the twisted things that the deranged crew does on their free time.","In addition, viewers will watch as a professional hit man, a producer, and a street girl end up in the middle of the chaos.",Hotel is an Comedy movie that was released in 2001 and has a run time of 1 hr 54 min.,0
train_one_shot.EN.40.2,EN,street girl,one_shot,"I first found erotica in the fifth grade, the year my parents let me walk the mile to our local bookshop, realizing they'd rather not play chauffer to my bookish ways.","I returned home with the next book in the Beacon Street Girl series, as planned.",But tucked behind that purchase was a book I'd picked from the romance aisle for its unassuming cover by Lori Foster.,1
