ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2
train_one_shot.en.1.1,divine service,None,EN,"Besides, officers strongly believe that drug control is both a humanitarian and divine service that attracts blessings from God.","Besides, officers strongly believe that drug control is both a humanitarian and service to God that attracts blessings from God.",1,,
train_one_shot.en.1.2,divine service,None,EN,"Besides, officers strongly believe that drug control is both a humanitarian and divine service that attracts blessings from God.","Besides, officers strongly believe that drug control is both a humanitarian and religious service that attracts blessings from God.",None,"Besides, officers strongly believe that drug control is both a humanitarian and service to God that attracts blessings from God.","Besides, officers strongly believe that drug control is both a humanitarian and religious service that attracts blessings from God."
train_one_shot.en.1.3,divine service,None,EN,"At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as divine service is ended, in the afternoon, on the first Lord's day after they have received it.""","At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as religious service is ended, in the afternoon, on the first Lord's day after they have received it.""",1,,
train_one_shot.en.1.4,divine service,None,EN,"At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as divine service is ended, in the afternoon, on the first Lord's day after they have received it.""","At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as service to God is ended, in the afternoon, on the first Lord's day after they have received it.""",None,"At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as religious service is ended, in the afternoon, on the first Lord's day after they have received it.""","At the bottom of the original Declaration of Independence, the Continental Congress ordered copies of the Declaration first be sent not to town clerks or newspapers but to parish ministers, who were ""required to read the same to their respective congregations, as soon as service to God is ended, in the afternoon, on the first Lord's day after they have received it."""
train_one_shot.en.2.1,life belt,None,EN,"It is some years since a few extra escape ladders and life belt posts were installed, but these are only useful if the person in the river is very close to one.","It is some years since a few extra escape ladders and flotation device posts were installed, but these are only useful if the person in the river is very close to one.",1,,
train_one_shot.en.2.2,life belt,None,EN,"It is some years since a few extra escape ladders and life belt posts were installed, but these are only useful if the person in the river is very close to one.","It is some years since a few extra escape ladders and existence belt posts were installed, but these are only useful if the person in the river is very close to one.",None,"It is some years since a few extra escape ladders and flotation device posts were installed, but these are only useful if the person in the river is very close to one.","It is some years since a few extra escape ladders and existence belt posts were installed, but these are only useful if the person in the river is very close to one."
train_one_shot.en.3.1,black cherry,None,EN,"It is a characteristic species of mesic slopes, frequently associating the tulip tree, sugar maple, American beech, white oak, black cherry and bitternut hickory.","It is a characteristic species of mesic slopes, frequently associating the tulip tree, sugar maple, American beech, white oak, cherry and bitternut hickory.",1,,
train_one_shot.en.4.1,guinea pig,None,EN,"In their work, Hamiliton's team found that the Dunkin Hartley guinea pig was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.","In their work, Hamiliton's team found that the Dunkin Hartley pig was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.",1,,
train_one_shot.en.4.2,guinea pig,None,EN,"In their work, Hamiliton's team found that the Dunkin Hartley guinea pig was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.","In their work, Hamiliton's team found that the Dunkin Hartley test subject was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.",None,"In their work, Hamiliton's team found that the Dunkin Hartley pig was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age.","In their work, Hamiliton's team found that the Dunkin Hartley test subject was a good candidate for a muscle aging model due to the animal's tendency to develop osteoarthritis (OA) at a young age."
train_one_shot.en.4.3,guinea pig,None,EN,I initially feared that taking it would make me a guinea pig.,I initially feared that taking it would make me a test subject.,1,,
